date,user_id,payment_method,discount_rate,app_time_min,paid_amount
2022-07-01,U0003,Voucher,0.1,13,29893
2022-07-01,U0589,Card,0.0,11,37530
2022-07-01,U0587,Card,0.0,25,53943
2022-07-01,U0581,Card,0.0,25,84161
2022-07-01,U0549,Transfer,0.0,19,49437
2022-07-01,U0548,Card,0.0,17,97907
2022-07-01,U0540,Transfer,0.0,22,69408
2022-07-01,U0534,Pay,0.05,6,38983
2022-07-01,U0532,Pay,0.0,42,46884
2022-07-01,U0527,Transfer,0.0,9,41600
2022-07-01,U0591,Transfer,0.0,29,47681
2022-07-01,U0526,Card,0.0,12,74970
2022-07-01,U0509,Card,0.0,19,82929
2022-07-01,U0501,Voucher,0.0,1,103546
2022-07-01,U0495,Card,0.0,1,94124
2022-07-01,U0491,Card,0.2,22,12168
2022-07-01,U0479,Pay,0.0,10,57472
2022-07-01,U0476,Card,0.3,5,43050
2022-07-01,U0454,Card,0.0,1,55625
2022-07-01,U0453,Pay,0.05,28,49331
2022-07-01,U0451,Card,0.05,1,69343
2022-07-01,U0525,Card,0.0,15,104258
2022-07-01,U0386,Pay,0.0,20,112523
2022-07-01,U0593,Card,0.0,19,67101
2022-07-01,U0605,Card,0.0,18,57909
2022-07-01,U0797,Transfer,0.2,21,15836
2022-07-01,U0792,Card,0.1,9,7751
2022-07-01,U0789,Transfer,0.0,26,116025
2022-07-01,U0785,Card,0.0,16,77181
2022-07-01,U0780,Transfer,0.0,39,55079
2022-07-01,U0752,,0.1,15,58969
2022-07-01,U0741,Transfer,0.0,15,69465
2022-07-01,U0728,Card,0.0,27,19528
2022-07-01,U0724,Pay,0.2,14,60944
2022-07-01,U0601,Card,0.0,14,36589
2022-07-01,U0712,Card,0.0,1,104551
2022-07-01,U0688,Card,0.05,11,20816
2022-07-01,U0682,Card,0.1,24,26239
2022-07-01,U0664,Card,0.2,15,46993
2022-07-01,U0658,Pay,0.0,15,74002
2022-07-01,U0650,Card,0.0,25,49494
2022-07-01,U0635,Card,0.0,1,48586
2022-07-01,U0624,Card,0.0,18,66576
2022-07-01,U0617,Pay,0.0,15,87888
2022-07-01,U0611,Pay,0.1,12,69354
2022-07-01,U0705,Card,0.05,15,3248
2022-07-01,U0384,Pay,0.0,6,50980
2022-07-01,U0701,Pay,0.0,20,27406
2022-07-01,U0371,Card,0.0,8,52018
2022-07-01,U0145,Pay,0.0,4,90962
2022-07-01,U0124,Card,0.0,8,90964
2022-07-01,U0122,Card,0.0,12,57558
2022-07-01,U0116,Voucher,0.0,4,87506
2022-07-01,U0111,Card,0.0,14,43412
2022-07-01,U0105,Pay,0.05,8,69505
2022-07-01,U0102,Card,0.0,25,38875
2022-07-01,U0101,Pay,0.0,19,46045
2022-07-01,U0099,Card,0.0,25,45520
2022-07-01,U0156,Voucher,0.15,25,36919
2022-07-01,U0098,Transfer,0.2,20,27229
2022-07-01,U0091,Card,0.0,20,57731
2022-07-01,U0073,Pay,0.25,27,20302
2022-07-01,U0048,Card,0.0,25,110154
2022-07-01,U0041,Pay,0.0,20,66040
2022-07-01,U0040,Card,0.0,13,74872
2022-07-01,U0025,Card,0.0,26,69385
2022-07-01,U0017,Transfer,0.0,20,96570
2022-07-01,U0006,Card,0.0,25,53792
2022-07-01,U0374,Card,0.05,7,19457
2022-07-01,U0093,Pay,0.0,33,23992
2022-07-01,U0162,Card,0.0,6,71279
2022-07-01,U0067,Voucher,0.0,5,48500
2022-07-01,U0167,,0.0,10,56174
2022-07-01,U0370,Card,0.0,3,8872
2022-07-01,U0164,Pay,0.0,15,17151
2022-07-01,U0358,Pay,0.0,19,31768
2022-07-01,U0349,Pay,0.2,23,52413
2022-07-01,U0348,Transfer,0.0,22,61482
2022-07-01,U0307,Transfer,0.0,9,72558
2022-07-01,U0300,Card,0.15,1,42037
2022-07-01,U0289,Card,0.25,13,13548
2022-07-01,U0288,Pay,0.1,4,17319
2022-07-01,U0282,Pay,0.25,11,40736
2022-07-01,U0317,Pay,0.05,16,50104
2022-07-01,U0233,Pay,0.15,12,29358
2022-07-01,U0280,Card,0.0,5,90073
2022-07-01,U0261,Pay,0.0,21,75444
2022-07-01,U0251,Card,0.0,17,104003
2022-07-01,U0237,Pay,0.0,44,33077
2022-07-01,U0169,Card,0.25,20,34620
2022-07-01,U0235,Card,0.0,18,79933
2022-07-01,U0180,,0.0,30,86701
2022-07-01,U0210,Pay,0.0,29,8460
2022-07-01,U0281,Pay,0.0,4,26992
2022-07-02,U0559,Card,0.2,11,60536
2022-07-02,U0552,Card,0.15,23,30052
2022-07-02,U0586,Transfer,0.0,22,15508
2022-07-02,U0547,Pay,0.0,12,58340
2022-07-02,U0544,Transfer,0.2,8,36895
2022-07-02,U0549,Card,0.0,19,62576
2022-07-02,U0564,Pay,0.3,31,33064
2022-07-02,U0581,Transfer,0.0,16,118517
2022-07-02,U0573,Card,0.0,10,12862
2022-07-02,U0578,Card,0.0,15,44065
2022-07-02,U0583,Transfer,0.0,23,99011
2022-07-02,U0584,Card,0.0,13,48356
2022-07-02,U0539,Card,0.0,9,54726
2022-07-02,U0585,Transfer,0.0,17,98671
2022-07-02,U0568,Pay,0.0,18,48986
2022-07-02,U0537,Pay,0.2,10,44120
2022-07-02,U0465,Card,0.0,16,95191
2022-07-02,U0534,Card,0.1,9,15226
2022-07-02,U0436,Card,0.25,3,52308
2022-07-02,U0587,Card,0.0,25,5590
2022-07-02,U0442,Transfer,0.15,20,29454
2022-07-02,U0450,Card,0.0,8,62377
2022-07-02,U0451,Transfer,0.0,21,64380
2022-07-02,U0456,Pay,0.0,6,75382
2022-07-02,U0535,Pay,0.0,10,39363
2022-07-02,U0459,Pay,0.2,7,23094
2022-07-02,U0483,Card,0.0,30,66194
2022-07-02,U0485,Card,0.0,12,89485
2022-07-02,U0492,Card,0.0,36,142188
2022-07-02,U0496,Card,0.0,33,58102
2022-07-02,U0506,Card,0.0,20,45450
2022-07-02,U0527,Card,0.0,3,32954
2022-07-02,U0469,Pay,0.0,27,63938
2022-07-02,U0592,Card,0.2,9,2000
2022-07-02,U0720,Transfer,0.0,6,49378
2022-07-02,U0609,Card,0.0,21,2000
2022-07-02,U0707,Card,0.0,35,72652
2022-07-02,U0726,Card,0.0,1,30759
2022-07-02,U0736,Card,0.0,25,91986
2022-07-02,U0759,Pay,0.1,6,41584
2022-07-02,U0769,Pay,0.1,12,12694
2022-07-02,U0774,Pay,0.0,30,64455
2022-07-02,U0702,Card,0.0,37,109279
2022-07-02,U0776,Card,0.25,19,6657
2022-07-02,U0783,Voucher,0.0,6,47520
2022-07-02,U0786,Pay,0.15,14,21226
2022-07-02,U0790,Card,0.15,25,56477
2022-07-02,U0794,Card,0.0,1,21577
2022-07-02,U0795,Card,0.0,13,37302
2022-07-02,U0431,Card,0.2,10,43444
2022-07-02,U0777,Voucher,0.0,12,76997
2022-07-02,U0687,Pay,0.0,20,32107
2022-07-02,U0682,Transfer,0.2,31,25154
2022-07-02,U0678,Card,0.05,12,17751
2022-07-02,U0614,Pay,0.0,21,62750
2022-07-02,U0623,Card,0.0,1,29743
2022-07-02,U0624,Transfer,0.0,1,2000
2022-07-02,U0628,Card,0.0,7,77668
2022-07-02,U0632,Card,0.0,23,64717
2022-07-02,U0637,Card,0.0,16,69155
2022-07-02,U0638,Card,0.0,14,67848
2022-07-02,U0642,Card,0.0,26,26016
2022-07-02,U0655,Card,0.1,25,42860
