user_id,last_purchase_date,frequency,monetary,avg_transaction_value,avg_discount_rate,avg_app_time_min,recency_days,payment_method_count
U0000,2024-05-23,80,4732976,59162.2,0.017499999999999998,16.7125,10,5
U0001,2024-05-14,130,11387193,87593.7923076923,0.02,32.06923076923077,19,5
U0002,2024-05-29,75,4777219,63696.253333333334,0.023333333333333334,7.293333333333333,4,5
U0003,2024-05-23,104,4514605,43409.66346153846,0.020673076923076922,12.028846153846153,10,5
U0004,2024-05-30,100,4537931,45379.31,0.1405,7.74,3,5
U0005,2024-05-25,68,2901326,42666.55882352941,0.011764705882352941,15.926470588235293,8,5
U0006,2024-05-28,108,5818730,53877.12962962963,0.11203703703703703,21.38888888888889,5,5
U0007,2024-06-02,87,5214343,59934.97701149425,0.014942528735632184,13.632183908045977,0,5
U0008,2024-02-06,67,3724951,55596.28358208955,0.011194029850746268,6.223880597014926,117,5
U0009,2024-05-27,97,4612235,47548.81443298969,0.16391752577319588,16.556701030927837,6,5
U0010,2023-07-01,36,1273229,35367.47222222222,0.019444444444444445,16.583333333333332,337,5
U0011,2024-06-01,118,9423497,79860.14406779662,0.020762711864406782,23.677966101694917,1,5
U0012,2024-05-21,90,5624290,62492.11111111111,0.013333333333333332,5.477777777777778,12,5
U0013,2024-05-27,79,6769505,85689.93670886075,0.032278481012658226,6.0,6,5
U0014,2024-05-28,77,3378896,43881.76623376623,0.0071428571428571435,16.48051948051948,5,4
U0015,2024-05-18,93,2874618,30909.870967741936,0.12311827956989246,11.150537634408602,15,5
U0016,2024-05-30,95,4618240,48613.05263157895,0.020526315789473684,3.736842105263158,3,5
U0017,2024-05-26,139,11502891,82754.61151079136,0.011510791366906475,15.16546762589928,7,5
U0018,2024-03-27,29,1309298,45148.206896551725,0.001724137931034483,8.379310344827585,67,4
U0019,2024-05-29,103,2377972,23087.106796116506,0.14466019417475728,12.116504854368932,4,5
U0020,2024-03-31,63,9111655,144629.44444444444,0.01507936507936508,12.746031746031745,63,5
