user_id,last_purchase_date,frequency,monetary,avg_transaction_value,avg_discount_rate,avg_app_time_min,recency_days,payment_method_count,recency_log,monetary_log,cluster,PCA1,PCA2
U0000,2024-05-23,80,4732976,59162.2,0.017499999999999998,16.7125,10,5,2.3978952727983707,15.37006494937943,0,-0.014805455985159274,-0.8249214729434975
U0001,2024-05-14,130,11387193,87593.7923076923,0.02,32.06923076923077,19,5,2.995732273553991,16.2479999486196,2,3.1698977308658387,-0.3548624767571816
U0002,2024-05-29,75,4777219,63696.253333333334,0.023333333333333334,7.293333333333333,4,5,1.6094379124341003,15.379369345320438,0,-0.27284873573093554,-1.1147742996486731
U0003,2024-05-23,104,4514605,43409.66346153846,0.020673076923076922,12.028846153846153,10,5,2.3978952727983707,15.322828476352129,0,-0.08857580059858727,-0.2969872429299628
U0004,2024-05-30,100,4537931,45379.31,0.1405,7.74,3,5,1.3862943611198906,15.327981959634952,1,-0.4164337563500726,0.8877342808293419
U0005,2024-05-25,68,2901326,42666.55882352941,0.011764705882352941,15.926470588235293,8,5,2.1972245773362196,14.880678776502958,0,-1.1420244139335367,-0.5651930275327012
U0006,2024-05-28,108,5818730,53877.12962962963,0.11203703703703703,21.38888888888889,5,5,1.791759469228055,15.57659275469606,1,0.7962959161960677,0.9691332545292658
U0007,2024-06-02,87,5214343,59934.97701149425,0.014942528735632184,13.632183908045977,0,5,0.0,15.466923847517124,0,0.6627288561112323,-0.1910993342615975
U0008,2024-02-06,67,3724951,55596.28358208955,0.011194029850746268,6.223880597014926,117,5,4.770684624465665,15.130564523806733,3,-1.6046793110459234,-2.1310645544867888
U0009,2024-05-27,97,4612235,47548.81443298969,0.16391752577319588,16.556701030927837,6,5,1.9459101490553132,15.344223329920533,1,-0.21919305067281133,1.2397382648958408
U0010,2023-07-01,36,1273229,35367.47222222222,0.019444444444444445,16.583333333333332,337,5,5.823045895483019,14.0570675367892,3,-3.711899455847606,-1.6697530374934253
U0011,2024-06-01,118,9423497,79860.14406779662,0.020762711864406782,23.677966101694917,1,5,0.6931471805599453,16.058716915203426,2,2.6785791018717746,0.006822321331678423
U0012,2024-05-21,90,5624290,62492.11111111111,0.013333333333333332,5.477777777777778,12,5,2.5649493574615367,15.542605453666045,0,-0.052257765922989835,-1.374188252790838
U0013,2024-05-27,79,6769505,85689.93670886075,0.032278481012658226,6.0,6,5,1.9459101490553132,15.727938673245294,0,0.5031594691728385,-1.667851980044517
U0014,2024-05-28,77,3378896,43881.76623376623,0.0071428571428571435,16.48051948051948,5,4,1.791759469228055,15.03305988284059,0,-0.623901724424771,-0.39210573049046726
U0015,2024-05-18,93,2874618,30909.870967741936,0.12311827956989246,11.150537634408602,15,5,2.772588722239781,14.871430701692676,1,-1.4932499493008742,0.7639002705802217
U0016,2024-05-30,95,4618240,48613.05263157895,0.020526315789473684,3.736842105263158,3,5,1.3862943611198906,15.345524454628858,0,-0.28841002758793266,-0.6076257760718248
U0017,2024-05-26,139,11502891,82754.61151079136,0.011510791366906475,15.16546762589928,7,5,2.0794415416798357,16.25810903997899,2,2.7618696242000853,-0.6703093032681537
U0018,2024-03-27,29,1309298,45148.206896551725,0.001724137931034483,8.379310344827585,67,4,4.219507705176107,14.085002437448654,3,-3.5886466776161807,-2.029058369240076
U0019,2024-05-29,103,2377972,23087.106796116506,0.14466019417475728,12.116504854368932,4,5,1.6094379124341003,14.681759002089349,1,-1.4156370906868958,1.740892964718872
U0020,2024-03-31,63,9111655,144629.44444444444,0.01507936507936508,12.746031746031745,63,5,4.1588830833596715,16.025065030982116,0,1.5479710365341854,-3.7246026317147245
U0021,2024-06-02,89,4329512,48646.20224719101,0.16853932584269662,21.202247191011235,0,5,0.0,15.28096562252168,1,0.1791719015750755,1.9542430598738085
U0022,2024-06-02,83,5248227,63231.65060240964,0.010240963855421687,27.301204819277107,0,5,0.0,15.4734010537843,0,1.261692471336239,0.23578823217333586
U0023,2024-06-02,94,2887760,30720.85106382979,0.11914893617021276,20.819148936170212,0,5,0.0,14.875992019337682,1,-0.4256374374025766,2.013649082720537
