date,total_sales
2022-07-01,5206686
2022-07-02,7441123
2022-07-03,6747488
2022-07-04,4004980
2022-07-05,4019278
2022-07-06,4756419
2022-07-07,3802911
2022-07-08,3602601
2022-07-09,6273177
2022-07-10,6488923
2022-07-11,4070699
2022-07-12,4834307
2022-07-13,5116363
2022-07-14,3399346
2022-07-15,4322872
2022-07-16,6288441
2022-07-17,6510676
2022-07-18,4894379
2022-07-19,4830879
2022-07-20,4617033
2022-07-21,4925865
2022-07-22,4103414
2022-07-23,4757568
2022-07-24,6162419
2022-07-25,5080287
2022-07-26,3246279
2022-07-27,5248897
2022-07-28,4233251
2022-07-29,4941333
2022-07-30,5666174
2022-07-31,5943077
2022-08-01,5098475
2022-08-02,4171043
2022-08-03,5232024
2022-08-04,3330592
2022-08-05,4738439
2022-08-06,5558986
2022-08-07,4395552
2022-08-08,3796700
2022-08-09,4645740
2022-08-10,4999455
2022-08-11,5169420
2022-08-12,4114747
2022-08-13,5744946
2022-08-14,4814854
2022-08-15,5254878
2022-08-16,4473176
2022-08-17,4697288
2022-08-18,4762446
2022-08-19,4907719
2022-08-20,5892116
2022-08-21,5674741
2022-08-22,4257218
2022-08-23,4062613
2022-08-24,3943149
2022-08-25,4997932
2022-08-26,4608014
2022-08-27,5724645
2022-08-28,5200625
2022-08-29,4845816
2022-08-30,3695801
2022-08-31,3943515
2022-09-01,4663974
2022-09-02,4281064
2022-09-03,6743995
2022-09-04,5738122
2022-09-05,4521972
2022-09-06,4288900
2022-09-07,3900429
2022-09-08,3839025
2022-09-09,5605685
2022-09-10,5627079
2022-09-11,5369172
2022-09-12,5068437
2022-09-13,2733527
2022-09-14,4413881
2022-09-15,7073327
2022-09-16,4136491
2022-09-17,4825686
2022-09-18,5282203
2022-09-19,3492007
2022-09-20,4484198
2022-09-21,4700600
2022-09-22,3385329
2022-09-23,3625102
2022-09-24,5279697
2022-09-25,5167884
2022-09-26,3991304
2022-09-27,5087088
2022-09-28,4165245
2022-09-29,4918038
2022-09-30,4740190
2022-10-01,5771519
2022-10-02,6152712
2022-10-03,3499021
2022-10-04,4664248
2022-10-05,4293367
2022-10-06,3922389
2022-10-07,4781452
2022-10-08,5425788
2022-10-09,6496178
2022-10-10,3725194
2022-10-11,3609851
